reference;type_operation;categorie_produit;quantite;prix_unitaire;valeur_marchandise;devise;pays_origine;pays_destination;mode_transport;distance_km;poids_kg;niveau_douane;priorite;date_operation;saison;duree_prevue_jours;date_livraison_prevue;duree_reelle_jours;date_livraison_reelle;retard
IMP-00001;IMPORT;PHARMACEUTIQUE;2056;238.75;490870.0;EUR;France;Maroc;MARITIME;2035;3055.46;FAIBLE;NORMALE;2025-08-02;ETE;10;2025-08-12;10;2025-08-12;0
IMP-00002;IMPORT;MATERIAUX_CONSTRUCTION;909;456.47;414931.23;EUR;Turquie;Maroc;MARITIME;4639;55431.04;ELEVE;NORMALE;2025-02-23;HIVER;16;2025-03-11;22;2025-03-17;1
IMP-00003;IMPORT;TEXTILE;3040;426.8;1297472.0;EUR;Portugal;Maroc;MARITIME;928;5626.45;MOYEN;URGENTE;2022-07-29;ETE;9;2022-08-07;7;2022-08-05;0
IMP-00004;IMPORT;TEXTILE;475;337.41;160269.75;EUR;Turquie;Maroc;AERIEN;4718;1112.4;ELEVE;NORMALE;2024-01-11;HIVER;4;2024-01-15;3;2024-01-14;0
IMP-00005;IMPORT;PHARMACEUTIQUE;634;616.95;391146.3;USD;Corée du Sud;Maroc;MARITIME;11252;243.28;MOYEN;URGENTE;2023-12-29;HIVER;30;2024-01-28;30;2024-01-28;0
IMP-00006;IMPORT;MACHINES;52;30435.38;1582639.76;USD;États-Unis;Maroc;AERIEN;6788;23993.66;MOYEN;NORMALE;2023-04-15;PRINTEMPS;5;2023-04-20;4;2023-04-19;0
IMP-00007;IMPORT;MATERIAUX_CONSTRUCTION;1153;540.23;622885.19;USD;Turquie;Maroc;MARITIME;4679;69797.63;FAIBLE;URGENTE;2022-10-13;AUTOMNE;16;2022-10-29;16;2022-10-29;0
IMP-00008;IMPORT;COSMETIQUE;4985;41.13;205033.05;USD;États-Unis;Maroc;MARITIME;6822;3958.88;ELEVE;URGENTE;2022-11-10;AUTOMNE;22;2022-12-02;20;2022-11-30;0
EXP-00009;EXPORT;PHARMACEUTIQUE;3611;174.99;631888.89;EUR;Maroc;Espagne;MARITIME;1022;203.4;ELEVE;NORMALE;2023-07-01;ETE;8;2023-07-09;6;2023-07-07;0
IMP-00010;IMPORT;MACHINES;98;20347.16;1994021.68;EUR;Allemagne;Maroc;MARITIME;2918;187113.8;MOYEN;NORMALE;2024-11-05;AUTOMNE;12;2024-11-17;11;2024-11-16;0
IMP-00011;IMPORT;EQUIPEMENT_MEDICAL;489;2823.33;1380608.37;EUR;Italie;Maroc;MARITIME;2270;53750.97;MOYEN;NORMALE;2023-05-06;PRINTEMPS;13;2023-05-19;18;2023-05-24;1
EXP-00012;EXPORT;MATERIAUX_CONSTRUCTION;1596;1465.26;2338554.96;EUR;Maroc;Italie;AERIEN;2159;38478.52;MOYEN;NORMALE;2025-05-27;PRINTEMPS;3;2025-05-30;2;2025-05-29;0
